Id,Current Price,Number of bids,On sale since,Expensive
2-9,421142.1321177626,0,0,1
3-9,421651.7579996376,0,0,1
4-9,421225.06676620006,0,0,1
5-9,420846.1756724501,0,0,1
6-9,421031.18895370007,0,0,1
7-9,421024.26477401255,0,0,1
8-9,473599.36000000004,0,0,1
9-9,473950,0,0,1
0-10,426409.2865956301,0,0,1
1-10,426995.3894378488,0,0,1
2-10,426457.70349016134,0,0,1
3-10,426712.5164310988,0,0,1
4-10,426499.17081438005,0,0,1
5-10,426309.7252675051,0,0,1
6-10,426402.2319081301,0,0,1
7-10,426398.7698182863,0,0,1
8-10,473599.36000000004,0,0,1
9-10,473950,0,0,1
0-11,431191.3509859671,0,0,1
1-11,431484.40240707644,0,0,1
2-11,431215.5594332327,0,0,1
3-11,431342.96590370144,0,0,1
4-11,431236.29309534206,0,0,1
5-11,431141.5703219046,0,0,1
6-11,431187.8236422171,0,0,1
7-11,431186.0925972952,0,0,1
8-11,473599.36000000004,0,0,1
9-11,473950,0,0,1
0-12,435472.44641232037,0,0,1
1-12,435618.97212287504,0,0,1
2-12,435484.5506359532,0,0,1
3-12,435548.25387118757,0,0,1
4-12,435494.9174670079,0,0,1
5-12,435447.5560802892,0,0,1
6-12,435470.68274044537,0,0,1
7-12,435469.81721798447,0,0,1
8-12,473599.36000000004,0,0,1
9-12,473950,0,0,1
0-13,439314.05103356333,0,0,1
1-13,439387.31388884067,0,0,1
2-13,439320.10314537975,0,0,1
3-13,439351.95476299693,0,0,1
4-13,439325.2865609071,0,0,1
5-13,439301.60586754774,0,0,1
6-13,439313.16919762583,0,0,1
7-13,439312.7364363954,0,0,1
8-13,473599.36000000004,0,0,1
9-13,473950,0,0,1
0-14,442765.80456144456,0,0,1
1-14,442802.43598908326,0,0,1
2-14,442768.83061735274,0,0,1
3-14,442784.7564261614,0,0,1
4-14,442771.42232511647,0,0,1
5-14,442759.5819784368,0,0,1
6-14,442765.3636434758,0,0,1
7-14,442765.14726286056,0,0,1
8-14,473599.36000000004,0,0,1
9-14,473950,0,0,1
0-15,445869.5374209188,0,0,1
1-15,445887.85313473816,0,0,1
2-15,445871.05044887296,0,0,1
3-15,445879.01335327723,0,0,1
4-15,445872.3463027548,0,0,1
5-15,445866.42612941493,0,0,1
6-15,445869.31696193444,0,0,1
7-15,445869.2087716268,0,0,1
8-15,473599.36000000004,0,0,1
9-15,473950,0,0,1
0-16,448661.47433663637,0,0,1
1-16,448670.63219354604,0,0,1
2-16,448662.23085061344,0,0,1
3-16,448666.2123028156,0,0,1
4-16,448662.8787775544,0,0,1
5-16,448659.9186908844,0,0,1
6-16,448661.3641071442,0,0,1
7-16,448661.31001199037,0,0,1
8-16,473599.36000000004,0,0,1
9-16,473950,0,0,1
0-17,451173.50623187737,0,0,1
1-17,451178.08516033227,0,0,1
2-17,451173.88448886597,0,0,1
3-17,451175.875214967,0,0,1
4-17,451174.2084523364,0,0,1
5-17,451172.7284090014,0,0,1
6-17,451173.4511171313,0,0,1
7-17,451173.4240695544,0,0,1
8-17,473599.36000000004,0,0,1
9-17,473950,0,0,1
0-18,453433.979273142,0,0,1
1-18,453436.26873736945,0,0,1
2-18,453434.1684016363,0,0,1
3-18,453435.1637646868,0,0,1
4-18,453434.3303833715,0,0,1
5-18,453433.590361704,0,0,1
6-18,453433.95171576896,0,0,1
7-18,453433.93819198053,0,0,1
8-18,473599.36000000004,0,0,1
9-18,473950,0,0,1
0-19,455468.22717805393,0,0,1
1-19,455469.3719101677,0,0,1
2-19,455468.3217423011,0,0,1
3-19,455468.81942382635,0,0,1
4-19,455468.4027331687,0,0,1
5-19,455468.03272233496,0,0,1
6-19,455468.2133993674,0,0,1
7-19,455468.2066374732,0,0,1
8-19,473599.36000000004,0,0,1
9-19,473950,0,0,1
0-20,457298.96137636167,0,0,1
1-20,457299.5337424185,0,0,1
2-20,457299.00865848525,0,0,1
3-20,457299.25749924785,0,0,1
4-20,457299.049153919,0,0,1
5-20,457298.8641485021,0,0,1
6-20,457298.9544870184,0,0,1
7-20,457298.95110607124,0,0,1
8-20,473599.36000000004,0,0,1
9-20,473950,0,0,1
0-21,458946.5776967821,0,0,1
1-21,458946.86387981044,0,0,1
2-21,458946.6013378438,0,0,1
3-21,458946.72575822513,0,0,1
4-21,458946.62158556073,0,0,1
5-21,458946.5290828523,0,0,1
6-21,458946.57425211044,0,0,1
7-21,458946.5725616368,0,0,1
8-21,473599.36000000004,0,0,1
9-21,473950,0,0,1
0-22,460429.41015613213,0,0,1
1-22,460429.5532476463,0,0,1
2-22,460429.421976663,0,0,1
3-22,460429.48418685363,0,0,1
4-22,460429.43210052146,0,0,1
5-22,460429.38584916724,0,0,1
6-22,460429.4084337963,0,0,1
7-22,460429.4075885595,0,0,1
8-22,473599.36000000004,0,0,1
9-22,473950,0,0,1
0-23,461763.94825503306,0,0,1
1-23,461764.0198007901,0,0,1
2-23,461763.9541652985,0,0,1
3-23,461763.9852703938,0,0,1
4-23,461763.9592272277,0,0,1
5-23,461763.9361015506,0,0,1
6-23,461763.94739386515,0,0,1
7-23,461763.94697124674,0,0,1
8-23,473599.36000000004,0,0,1
9-23,473950,0,0,1
0-24,462965.02698678686,0,0,1
1-24,462965.06275966536,0,0,1
2-24,462965.02994191955,0,0,1
3-24,462965.0454944672,0,0,1
4-24,462965.03247288417,0,0,1
5-24,462965.0209100456,0,0,1
6-24,462965.0265562029,0,0,1
7-24,462965.0263448937,0,0,1
8-24,473599.36000000004,0,0,1
9-24,473950,0,0,1
0-25,464045.9950667367,0,0,1
1-25,464046.01295317593,0,0,1
2-25,464045.996544303,0,0,1
3-25,464046.0043205769,0,0,1
4-25,464045.99780978536,0,0,1
5-25,464045.9920283661,0,0,1
6-25,464045.99485144473,0,0,1
7-25,464045.99474579014,0,0,1
8-25,473599.36000000004,0,0,1
9-25,473950,0,0,1
0-26,465018.86494937725,0,0,1
1-26,465018.8738925969,0,0,1
2-26,465018.8656881604,0,0,1
3-26,465018.86957629735,0,0,1
4-26,465018.8663209016,0,0,1
5-26,465018.863430192,0,0,1
6-26,465018.86484173127,0,0,1
7-26,465018.864788904,0,0,1
8-26,473599.36000000004,0,0,1
9-26,473950,0,0,1
0-27,465894.44714909664,0,0,1
1-27,465894.4516207065,0,0,1
2-27,465894.44751848816,0,0,1
3-27,465894.44946255663,0,0,1
4-27,465894.4478348588,0,0,1
5-27,465894.446389504,0,0,1
6-27,465894.44709527364,0,0,1
7-27,465894.44706885994,0,0,1
8-27,473599.36000000004,0,0,1
9-27,473950,0,0,1
0-28,466682.47078151547,0,0,1
1-28,466682.4730173204,0,0,1
2-28,466682.4709662113,0,0,1
3-28,466682.47193824546,0,0,1
4-28,466682.47112439654,0,0,1
5-28,466682.4704017192,0,0,1
6-28,466682.470754604,0,0,1
7-28,466682.4707413971,0,0,1
8-28,473599.36000000004,0,0,1
9-28,473950,0,0,1
0-29,467391.6918770282,0,0,1
1-29,467391.69299493067,0,0,1
2-29,467391.6919693761,0,0,1
3-29,467391.6924553932,0,0,1
4-29,467391.69204846874,0,0,1
5-29,467391.6916871301,0,0,1
6-29,467391.69186357246,0,0,1
7-29,467391.69185696903,0,0,1
8-29,473599.36000000004,0,0,1
9-29,473950,0,0,1
0-30,468029.99077615753,0,0,1
1-30,468029.99133510876,0,0,1
2-30,468029.9908223315,0,0,1
3-30,468029.99106534,0,0,1
4-30,468029.9908618778,0,0,1
5-30,468029.99068120844,0,0,1
6-30,468029.99076942966,0,0,1
7-30,468029.99076612794,0,0,1
8-30,473599.36000000004,0,0,1
9-30,473950,0,0,1
0-31,468604.4597419579,0,0,1
1-31,468604.46002143354,0,0,1
2-31,468604.45976504486,0,0,1
3-31,468604.45988654916,0,0,1
4-31,468604.459784818,0,0,1
5-31,468604.4596944833,0,0,1
6-31,468604.45973859396,0,0,1
7-31,468604.4597369431,0,0,1
8-31,473599.36000000004,0,0,1
9-31,473950,0,0,1
0-32,469121.4817894702,0,0,1
1-32,469121.481929208,0,0,1
2-32,469121.48180101364,0,0,1
3-32,469121.4818617658,0,0,1
4-32,469121.4818109002,0,0,1
5-32,469121.48176573287,0,0,1
6-32,469121.4817877882,0,0,1
7-32,469121.4817869628,0,0,1
8-32,473599.36000000004,0,0,1
9-32,473950,0,0,1
0-33,469586.8016213771,0,0,1
1-33,469586.80169124604,0,0,1
2-33,469586.8016271489,0,0,1
3-33,469586.80165752495,0,0,1
4-33,469586.80163209216,0,0,1
5-33,469586.80160950846,0,0,1
6-33,469586.80162053613,0,0,1
7-33,469586.80162012344,0,0,1
8-33,473599.36000000004,0,0,1
9-33,473950,0,0,1
0-34,470005.58946466644,0,0,1
1-34,470005.58949960093,0,0,1
2-34,470005.5894675523,0,0,1
3-34,470005.5894827404,0,0,1
4-34,470005.589470024,0,0,1
5-34,470005.5894587321,0,0,1
6-34,470005.58946424595,0,0,1
7-34,470005.5894640396,0,0,1
8-34,473599.36000000004,0,0,1
9-34,473950,0,0,1
0-35,470382.4985209133,0,0,1
1-35,470382.4985383805,0,0,1
2-35,470382.4985223562,0,0,1
3-35,470382.4985299503,0,0,1
4-35,470382.498523592,0,0,1
5-35,470382.4985179461,0,0,1
6-35,470382.49852070305,0,0,1
7-35,470382.49852059985,0,0,1
8-35,473599.36000000004,0,0,1
9-35,473950,0,0,1
0-36,470721.71667017875,0,0,1
1-36,470721.71667891234,0,0,1
2-36,470721.71667090023,0,0,1
3-36,470721.71667469724,0,0,1
4-36,470721.7166715181,0,0,1
5-36,470721.71666869515,0,0,1
6-36,470721.7166700736,0,0,1
7-36,470721.716670022,0,0,1
8-36,473599.36000000004,0,0,1
9-36,473950,0,0,1
0-37,471027.01300383924,0,0,1
1-37,471027.01300820604,0,0,1
2-37,471027.01300419995,0,0,1
3-37,471027.01300609845,0,0,1
4-37,471027.0130045089,0,0,1
5-37,471027.01300309744,0,0,1
6-37,471027.0130037867,0,0,1
7-37,471027.01300376083,0,0,1
8-37,473599.36000000004,0,0,1
9-37,473950,0,0,1
0-38,471301.7797037945,0,0,1
1-38,471301.7797059779,0,0,1
2-38,471301.77970397484,0,0,1
3-38,471301.7797049241,0,0,1
4-38,471301.7797041293,0,0,1
5-38,471301.7797034236,0,0,1
6-38,471301.7797037682,0,0,1
7-38,471301.7797037553,0,0,1
8-38,473599.36000000004,0,0,1
9-38,473950,0,0,1
0-39,471549.06973358465,0,0,1
1-39,471549.0697346763,0,0,1
2-39,471549.06973367475,0,0,1
3-39,471549.0697341494,0,0,1
4-39,471549.06973375205,0,0,1
5-39,471549.0697333992,0,0,1
6-39,471549.0697335715,0,0,1
7-39,471549.069733565,0,0,1
8-39,473599.36000000004,0,0,1
9-39,473950,0,0,1
0-40,471771.6307603109,0,0,1
1-40,471771.6307608568,0,0,1
2-40,471771.63076035597,0,0,1
3-40,471771.63076059334,0,0,1
4-40,471771.6307603946,0,0,1
5-40,471771.63076021825,0,0,1
6-40,471771.6307603044,0,0,1
7-40,471771.63076030114,0,0,1
8-40,473599.36000000004,0,0,1
9-40,473950,0,0,1
0-41,471971.93568432226,0,0,1
1-41,471971.9356845952,0,0,1
2-41,471971.9356843448,0,0,1
3-41,471971.9356844635,0,0,1
4-41,471971.9356843641,0,0,1
5-41,471971.93568427593,0,0,1
6-41,471971.935684319,0,0,1
7-41,471971.9356843174,0,0,1
8-41,473599.36000000004,0,0,1
9-41,473950,0,0,1
0-42,472152.2101159112,0,0,1
1-42,472152.2101160477,0,0,1
2-42,472152.2101159225,0,0,1
3-42,472152.21011598187,0,0,1
4-42,472152.21011593216,0,0,1
5-42,472152.21011588804,0,0,1
6-42,472152.2101159096,0,0,1
7-42,472152.21011590876,0,0,1
8-42,473599.36000000004,0,0,1
9-42,473950,0,0,1
0-43,472314.4571043307,0,0,1
1-43,472314.457104399,0,0,1
2-43,472314.45710433635,0,0,1
3-43,472314.45710436604,0,0,1
4-43,472314.4571043412,0,0,1
5-43,472314.4571043191,0,0,1
6-43,472314.4571043299,0,0,1
7-43,472314.4571043295,0,0,1
8-43,473599.36000000004,0,0,1
9-43,473950,0,0,1
0-44,472460.479393903,0,0,1
1-44,472460.47939393716,0,0,1
2-44,472460.47939390584,0,0,1
3-44,472460.4793939206,0,0,1
4-44,472460.47939390823,0,0,1
5-44,472460.4793938972,0,0,1
6-44,472460.4793939026,0,0,1
7-44,472460.47939390235,0,0,1
8-44,473599.36000000004,0,0,1
9-44,473950,0,0,1
0-45,472591.8994545153,0,0,1
1-45,472591.8994545324,0,0,1
2-45,472591.89945451677,0,0,1
3-45,472591.89945452416,0,0,1
4-45,472591.899454518,0,0,1
5-45,472591.89945451246,0,0,1
6-45,472591.89945451514,0,0,1
7-45,472591.899454515,0,0,1
8-45,473599.36000000004,0,0,1
9-45,473950,0,0,1
0-46,472710.17750906514,0,0,1
1-46,472710.1775090737,0,0,1
2-46,472710.17750906583,0,0,1
3-46,472710.17750906956,0,0,1
4-46,472710.1775090665,0,0,1
5-46,472710.17750906374,0,0,1
6-46,472710.177509065,0,0,1
7-46,472710.177509065,0,0,1
8-46,473599.36000000004,0,0,1
9-46,473950,0,0,1
0-47,472816.6277581593,0,0,1
1-47,472816.6277581636,0,0,1
2-47,472816.62775815965,0,0,1
3-47,472816.6277581615,0,0,1
4-47,472816.62775816,0,0,1
5-47,472816.6277581586,0,0,1
6-47,472816.62775815924,0,0,1
7-47,472816.62775815924,0,0,1
8-47,473599.36000000004,0,0,1
9-47,473950,0,0,1
0-48,472912.4329823437,0,0,1
1-48,472912.43298234587,0,0,1
2-48,472912.4329823439,0,0,1
3-48,472912.4329823448,0,0,1
4-48,472912.43298234406,0,0,1
5-48,472912.43298234337,0,0,1
6-48,472912.4329823437,0,0,1
7-48,472912.4329823437,0,0,1
8-48,473599.36000000004,0,0,1
9-48,473950,0,0,1
0-49,472998.6576841095,0,0,1
1-49,472998.65768411057,0,0,1
2-49,472998.6576841096,0,0,1
3-49,472998.65768411005,0,0,1
4-49,472998.65768410964,0,0,1
5-49,472998.6576841093,0,0,1
6-49,472998.6576841095,0,0,1
7-49,472998.6576841095,0,0,1
8-49,473599.36000000004,0,0,1
9-49,473950,0,0,1
0-50,473076.25991569867,0,0,1
1-50,473076.2599156992,0,0,1
2-50,473076.25991569867,0,0,1
3-50,473076.2599156989,0,0,1
4-50,473076.2599156987,0,0,1
5-50,473076.25991569855,0,0,1
6-50,473076.25991569867,0,0,1
7-50,473076.25991569867,0,0,1
8-50,473599.36000000004,0,0,1
9-50,473950,0,0,1
0-51,473146.10192412883,0,0,1
1-51,473146.1019241291,0,0,1
2-51,473146.10192412883,0,0,1
3-51,473146.10192412895,0,0,1
4-51,473146.1019241289,0,0,1
5-51,473146.10192412883,0,0,1
6-51,473146.10192412883,0,0,1
7-51,473146.10192412883,0,0,1
8-51,473599.36000000004,0,0,1
9-51,473950,0,0,1
0-52,473208.95973171596,0,0,1
1-52,473208.9597317161,0,0,1
2-52,473208.95973171596,0,0,1
3-52,473208.959731716,0,0,1
4-52,473208.95973171596,0,0,1
5-52,473208.95973171596,0,0,1
6-52,473208.95973171596,0,0,1
7-52,473208.95973171596,0,0,1
8-52,473599.36000000004,0,0,1
9-52,473950,0,0,1
0-53,473265.5317585444,0,0,1
1-53,473265.53175854444,0,0,1
2-53,473265.5317585444,0,0,1
3-53,473265.5317585444,0,0,1
4-53,473265.5317585444,0,0,1
5-53,473265.5317585444,0,0,1
6-53,473265.5317585444,0,0,1
7-53,473265.5317585444,0,0,1
8-53,473599.36000000004,0,0,1
9-53,473950,0,0,1
0-54,473316.44658269,0,0,1
1-54,473316.44658269,0,0,1
2-54,473316.44658269,0,0,1
3-54,473316.44658269,0,0,1
4-54,473316.44658269,0,0,1
5-54,473316.44658269,0,0,1
6-54,473316.44658269,0,0,1
7-54,473316.44658269,0,0,1
8-54,473599.36000000004,0,0,1
9-54,473950,0,0,1
0-55,473362.269924421,0,0,1
1-55,473362.269924421,0,0,1
2-55,473362.269924421,0,0,1
3-55,473362.269924421,0,0,1
4-55,473362.269924421,0,0,1
5-55,473362.269924421,0,0,1
6-55,473362.269924421,0,0,1
7-55,473362.269924421,0,0,1
8-55,473599.36000000004,0,0,1
9-55,473950,0,0,1
0-56,473403.5109319788,0,0,1
1-56,473403.5109319788,0,0,1
2-56,473403.5109319788,0,0,1
3-56,473403.5109319788,0,0,1
4-56,473403.5109319788,0,0,1
5-56,473403.5109319788,0,0,1
6-56,473403.5109319788,0,0,1
7-56,473403.5109319788,0,0,1
8-56,473599.36000000004,0,0,1
9-56,473950,0,0,1
0-57,473440.627838781,0,0,1
1-57,473440.627838781,0,0,1
2-57,473440.627838781,0,0,1
3-57,473440.627838781,0,0,1
4-57,473440.627838781,0,0,1
5-57,473440.627838781,0,0,1
6-57,473440.627838781,0,0,1
7-57,473440.627838781,0,0,1
8-57,473599.36000000004,0,0,1
9-57,473950,0,0,1
0-58,473474.0330549029,0,0,1
1-58,473474.0330549029,0,0,1
2-58,473474.0330549029,0,0,1
3-58,473474.0330549029,0,0,1
4-58,473474.0330549029,0,0,1
5-58,473474.0330549029,0,0,1
6-58,473474.0330549029,0,0,1
7-58,473474.0330549029,0,0,1
8-58,473599.36000000004,0,0,1
9-58,473950,0,0,1
0-59,473504.0977494127,0,0,1
1-59,473504.0977494127,0,0,1
2-59,473504.0977494127,0,0,1
3-59,473504.0977494127,0,0,1
4-59,473504.0977494127,0,0,1
5-59,473504.0977494127,0,0,1
6-59,473504.0977494127,0,0,1
7-59,473504.0977494127,0,0,1
8-59,473599.36000000004,0,0,1
9-59,473950,0,0,1
0-60,473531.1559744714,0,0,1
1-60,473531.1559744714,0,0,1
2-60,473531.1559744714,0,0,1
3-60,473531.1559744714,0,0,1
4-60,473531.1559744714,0,0,1
5-60,473531.1559744714,0,0,1
6-60,473531.1559744714,0,0,1
7-60,473531.1559744714,0,0,1
8-60,473599.36000000004,0,0,1
9-60,473950,0,0,1
0-61,473555.50837702426,0,0,1
1-61,473555.50837702426,0,0,1
2-61,473555.50837702426,0,0,1
3-61,473555.50837702426,0,0,1
4-61,473555.50837702426,0,0,1
5-61,473555.50837702426,0,0,1
6-61,473555.50837702426,0,0,1
7-61,473555.50837702426,0,0,1
8-61,473599.36000000004,0,0,1
9-61,473950,0,0,1
0-62,473577.42553932185,0,0,1
1-62,473577.42553932185,0,0,1
2-62,473577.42553932185,0,0,1
3-62,473577.42553932185,0,0,1
4-62,473577.42553932185,0,0,1
5-62,473577.42553932185,0,0,1
6-62,473577.42553932185,0,0,1
7-62,473577.42553932185,0,0,1
8-62,473599.36000000004,0,0,1
9-62,473950,0,0,1
0-63,473597.1509853896,0,62,1
1-63,473597.1509853896,0,0,1
2-63,473597.1509853896,0,0,1
3-63,473597.1509853896,0,0,1
4-63,473597.1509853896,0,62,1
5-63,473597.1509853896,0,62,1
6-63,473597.1509853896,0,62,1
7-63,473597.1509853896,0,62,1
8-63,473608.1182157287,0,0,1
9-63,473950,0,0,1
0-64,473615.34179763705,0,63,1
1-64,473615.34179763705,0,0,1
2-64,473615.34179763705,0,63,1
3-64,473615.34179763705,0,0,1
4-64,473615.34179763705,0,63,1
5-64,473615.34179763705,0,63,1
6-64,473615.34179763705,0,63,1
7-64,473615.34179763705,0,63,1
8-64,473620.8254128066,0,0,1
9-64,473950,0,0,1
0-65,473632.34888851363,0,64,1
1-65,473632.34888851363,0,0,1
2-65,473632.34888851363,0,64,1
3-65,473632.34888851363,0,0,1
4-65,473632.34888851363,0,64,1
5-65,473632.34888851363,0,64,1
6-65,473632.34888851363,0,64,1
7-65,473632.34888851363,0,64,1
8-65,473635.0906960984,0,0,1
9-65,473950,0,0,1
0-66,473648.3685344672,0,65,1
1-66,473648.3685344672,0,0,1
2-66,473648.3685344672,0,65,1
3-66,473648.3685344672,0,0,1
4-66,473648.3685344672,0,65,1
5-66,473648.3685344672,0,65,1
6-66,473648.3685344672,0,65,1
7-66,473648.3685344672,0,65,1
8-66,473649.73943825957,0,0,1
9-66,473950,0,0,1
0-67,473663.5186529335,0,66,1
1-67,473663.5186529335,0,0,1
2-67,473663.5186529335,0,66,1
3-67,473663.5186529335,0,0,1
4-67,473663.5186529335,0,66,1
5-67,473663.5186529335,0,66,1
6-67,473663.5186529335,0,66,1
7-67,473663.5186529335,0,66,1
8-67,473664.2041048297,0,0,1
9-67,473950,0,0,1
0-68,473677.87699288165,0,67,1
1-68,473677.87699288165,0,0,1
2-68,473677.87699288165,0,67,1
3-68,473677.87699288165,0,0,1
4-68,473677.87699288165,0,67,1
5-68,473677.87699288165,0,67,1
6-68,473677.87699288165,0,67,1
7-68,473677.87699288165,0,67,1
8-68,473678.2197188297,0,0,1
9-68,473950,0,0,1
